head,relation,tail
user_196,rated,movie_242
user_186,rated,movie_302
user_22,rated,movie_377
user_244,rated,movie_51
user_166,rated,movie_346
user_298,rated,movie_474
user_115,rated,movie_265
user_253,rated,movie_465
user_305,rated,movie_451
user_6,rated,movie_86
user_62,rated,movie_257
user_286,rated,movie_1014
user_200,rated,movie_222
user_210,rated,movie_40
user_224,rated,movie_29
user_303,rated,movie_785
user_122,rated,movie_387
user_194,rated,movie_274
user_291,rated,movie_1042
user_234,rated,movie_1184
user_119,rated,movie_392
user_167,rated,movie_486
user_299,rated,movie_144
user_291,rated,movie_118
user_308,rated,movie_1
user_95,rated,movie_546
user_38,rated,movie_95
user_102,rated,movie_768
user_63,rated,movie_277
user_160,rated,movie_234
user_50,rated,movie_246
user_301,rated,movie_98
user_225,rated,movie_193
user_290,rated,movie_88
user_97,rated,movie_194
user_157,rated,movie_274
user_181,rated,movie_1081
user_278,rated,movie_603
user_276,rated,movie_796
user_7,rated,movie_32
user_10,rated,movie_16
user_284,rated,movie_304
user_201,rated,movie_979
user_276,rated,movie_564
user_287,rated,movie_327
user_246,rated,movie_201
user_242,rated,movie_1137
user_249,rated,movie_241
user_99,rated,movie_4
user_178,rated,movie_332
user_251,rated,movie_100
user_81,rated,movie_432
user_260,rated,movie_322
user_25,rated,movie_181
user_59,rated,movie_196
user_72,rated,movie_679
user_87,rated,movie_384
user_290,rated,movie_143
user_42,rated,movie_423
user_292,rated,movie_515
user_115,rated,movie_20
user_20,rated,movie_288
user_201,rated,movie_219
user_13,rated,movie_526
user_246,rated,movie_919
user_138,rated,movie_26
user_167,rated,movie_232
user_60,rated,movie_427
user_57,rated,movie_304
user_223,rated,movie_274
user_189,rated,movie_512
user_243,rated,movie_15
user_92,rated,movie_1049
user_246,rated,movie_416
user_194,rated,movie_165
user_241,rated,movie_690
user_178,rated,movie_248
user_254,rated,movie_1444
user_293,rated,movie_5
user_127,rated,movie_229
user_225,rated,movie_237
user_299,rated,movie_229
user_225,rated,movie_480
user_276,rated,movie_54
user_291,rated,movie_144
user_222,rated,movie_366
user_267,rated,movie_518
user_42,rated,movie_403
user_11,rated,movie_111
user_95,rated,movie_625
user_8,rated,movie_338
user_162,rated,movie_25
user_87,rated,movie_1016
user_279,rated,movie_154
user_145,rated,movie_275
user_119,rated,movie_1153
user_62,rated,movie_498
user_62,rated,movie_382
user_28,rated,movie_209
user_135,rated,movie_23
user_32,rated,movie_294
user_90,rated,movie_382
user_286,rated,movie_208
user_293,rated,movie_685
user_216,rated,movie_144
user_166,rated,movie_328
user_250,rated,movie_496
user_271,rated,movie_132
user_160,rated,movie_174
user_265,rated,movie_118
user_198,rated,movie_498
user_42,rated,movie_96
user_168,rated,movie_151
user_110,rated,movie_307
user_58,rated,movie_144
user_90,rated,movie_648
user_271,rated,movie_346
user_62,rated,movie_21
user_279,rated,movie_832
user_237,rated,movie_514
user_94,rated,movie_789
user_128,rated,movie_485
user_298,rated,movie_317
user_44,rated,movie_195
user_264,rated,movie_200
user_194,rated,movie_385
user_72,rated,movie_195
user_222,rated,movie_750
user_250,rated,movie_264
user_41,rated,movie_265
user_224,rated,movie_245
user_82,rated,movie_135
user_262,rated,movie_1147
user_293,rated,movie_471
user_216,rated,movie_658
user_250,rated,movie_140
user_59,rated,movie_23
user_286,rated,movie_379
user_244,rated,movie_815
user_7,rated,movie_479
user_174,rated,movie_368
user_87,rated,movie_274
user_194,rated,movie_1211
user_82,rated,movie_1134
user_13,rated,movie_836
user_13,rated,movie_272
user_244,rated,movie_756
user_305,rated,movie_427
user_95,rated,movie_787
user_43,rated,movie_14
user_299,rated,movie_955
user_57,rated,movie_419
user_84,rated,movie_405
user_269,rated,movie_504
user_299,rated,movie_111
user_194,rated,movie_466
user_160,rated,movie_135
user_99,rated,movie_268
user_10,rated,movie_486
user_259,rated,movie_117
user_85,rated,movie_427
user_303,rated,movie_919
user_213,rated,movie_273
user_121,rated,movie_514
user_90,rated,movie_98
user_49,rated,movie_559
user_42,rated,movie_794
user_155,rated,movie_323
user_68,rated,movie_117
user_172,rated,movie_177
user_19,rated,movie_4
user_268,rated,movie_231
user_5,rated,movie_2
user_305,rated,movie_117
user_44,rated,movie_294
user_43,rated,movie_137
user_279,rated,movie_1336
user_80,rated,movie_466
user_254,rated,movie_164
user_298,rated,movie_281
user_279,rated,movie_1240
user_66,rated,movie_298
user_18,rated,movie_443
user_268,rated,movie_1035
user_99,rated,movie_79
user_13,rated,movie_98
user_26,rated,movie_258
user_7,rated,movie_455
user_222,rated,movie_755
user_200,rated,movie_673
user_119,rated,movie_328
user_213,rated,movie_172
user_276,rated,movie_322
user_94,rated,movie_1217
user_130,rated,movie_379
user_38,rated,movie_328
user_160,rated,movie_719
user_293,rated,movie_1267
user_26,rated,movie_930
user_130,rated,movie_216
user_92,rated,movie_1079
user_256,rated,movie_452
user_1,rated,movie_61
user_72,rated,movie_48
user_56,rated,movie_755
user_13,rated,movie_360
user_15,rated,movie_405
user_92,rated,movie_77
user_207,rated,movie_476
user_292,rated,movie_174
user_232,rated,movie_483
user_251,rated,movie_748
user_224,rated,movie_26
user_181,rated,movie_220
user_259,rated,movie_255
user_305,rated,movie_471
user_52,rated,movie_280
user_161,rated,movie_202
user_148,rated,movie_408
user_125,rated,movie_235
user_97,rated,movie_228
user_58,rated,movie_1098
user_83,rated,movie_234
user_90,rated,movie_347
user_272,rated,movie_178
user_194,rated,movie_181
user_125,rated,movie_478
user_110,rated,movie_688
user_299,rated,movie_14
user_151,rated,movie_10
user_269,rated,movie_127
user_6,rated,movie_14
user_54,rated,movie_106
user_303,rated,movie_69
user_16,rated,movie_944
user_301,rated,movie_790
user_276,rated,movie_1091
user_305,rated,movie_214
user_194,rated,movie_1028
user_91,rated,movie_323
user_87,rated,movie_554
user_294,rated,movie_109
user_286,rated,movie_171
user_200,rated,movie_318
user_229,rated,movie_328
user_178,rated,movie_568
user_303,rated,movie_842
user_62,rated,movie_65
user_207,rated,movie_591
user_92,rated,movie_172
user_301,rated,movie_401
user_36,rated,movie_339
user_70,rated,movie_746
user_63,rated,movie_242
user_28,rated,movie_201
user_279,rated,movie_68
user_250,rated,movie_7
user_14,rated,movie_98
user_299,rated,movie_1018
user_194,rated,movie_54
user_303,rated,movie_815
user_119,rated,movie_237
user_295,rated,movie_218
user_268,rated,movie_930
user_268,rated,movie_2
user_66,rated,movie_258
user_233,rated,movie_202
user_83,rated,movie_623
user_214,rated,movie_334
user_192,rated,movie_476
user_100,rated,movie_344
user_268,rated,movie_145
user_301,rated,movie_56
user_307,rated,movie_89
user_234,rated,movie_141
user_83,rated,movie_576
user_181,rated,movie_264
user_297,rated,movie_133
user_38,rated,movie_153
user_7,rated,movie_382
user_264,rated,movie_813
user_181,rated,movie_872
user_201,rated,movie_146
user_85,rated,movie_507
user_269,rated,movie_367
user_59,rated,movie_468
user_286,rated,movie_143
user_193,rated,movie_96
user_113,rated,movie_595
user_292,rated,movie_11
user_130,rated,movie_1014
user_275,rated,movie_98
user_189,rated,movie_520
user_219,rated,movie_82
user_218,rated,movie_209
user_123,rated,movie_427
user_119,rated,movie_222
user_158,rated,movie_177
user_222,rated,movie_118
user_302,rated,movie_322
user_279,rated,movie_501
user_301,rated,movie_79
user_181,rated,movie_3
user_201,rated,movie_695
user_13,rated,movie_198
user_1,rated,movie_189
user_145,rated,movie_237
user_23,rated,movie_385
user_201,rated,movie_767
user_296,rated,movie_705
user_42,rated,movie_546
user_33,rated,movie_872
user_301,rated,movie_554
user_16,rated,movie_64
user_95,rated,movie_135
user_154,rated,movie_357
user_77,rated,movie_484
user_296,rated,movie_508
user_302,rated,movie_303
user_244,rated,movie_673
user_222,rated,movie_77
user_13,rated,movie_215
user_16,rated,movie_705
user_270,rated,movie_452
user_145,rated,movie_15
user_187,rated,movie_64
user_200,rated,movie_304
user_170,rated,movie_749
user_101,rated,movie_829
user_184,rated,movie_218
user_128,rated,movie_204
user_181,rated,movie_1295
user_184,rated,movie_153
user_1,rated,movie_33
user_1,rated,movie_160
user_184,rated,movie_321
user_54,rated,movie_595
user_94,rated,movie_343
user_128,rated,movie_508
user_23,rated,movie_323
user_301,rated,movie_227
user_301,rated,movie_191
user_112,rated,movie_903
user_82,rated,movie_183
user_222,rated,movie_724
user_218,rated,movie_430
user_308,rated,movie_1197
user_303,rated,movie_134
user_133,rated,movie_751
user_215,rated,movie_212
user_69,rated,movie_256
user_254,rated,movie_662
user_276,rated,movie_2
user_104,rated,movie_984
user_63,rated,movie_1067
user_267,rated,movie_410
user_13,rated,movie_56
user_240,rated,movie_879
user_286,rated,movie_237
user_294,rated,movie_271
user_90,rated,movie_1086
user_18,rated,movie_26
user_92,rated,movie_229
user_308,rated,movie_649
user_144,rated,movie_89
user_191,rated,movie_302
user_59,rated,movie_951
user_200,rated,movie_96
user_16,rated,movie_197
user_61,rated,movie_678
user_271,rated,movie_199
user_271,rated,movie_709
user_142,rated,movie_169
user_275,rated,movie_597
user_222,rated,movie_151
user_87,rated,movie_40
user_207,rated,movie_258
user_272,rated,movie_1393
user_177,rated,movie_333
user_207,rated,movie_1115
user_299,rated,movie_577
user_271,rated,movie_378
user_305,rated,movie_425
user_49,rated,movie_959
user_94,rated,movie_1224
user_130,rated,movie_1017
user_10,rated,movie_175
user_203,rated,movie_321
user_191,rated,movie_286
user_43,rated,movie_323
user_21,rated,movie_558
user_197,rated,movie_96
user_13,rated,movie_344
user_194,rated,movie_66
user_234,rated,movie_206
user_308,rated,movie_402
user_308,rated,movie_640
user_269,rated,movie_522
user_94,rated,movie_265
user_268,rated,movie_62
user_272,rated,movie_12
user_121,rated,movie_291
user_296,rated,movie_20
user_134,rated,movie_286
user_180,rated,movie_462
user_234,rated,movie_612
user_104,rated,movie_117
user_38,rated,movie_758
user_269,rated,movie_845
user_7,rated,movie_163
user_234,rated,movie_1451
user_275,rated,movie_405
user_52,rated,movie_250
user_102,rated,movie_823
user_13,rated,movie_186
user_178,rated,movie_731
user_236,rated,movie_71
user_256,rated,movie_781
user_263,rated,movie_176
user_244,rated,movie_186
user_279,rated,movie_1181
user_43,rated,movie_815
user_83,rated,movie_78
user_151,rated,movie_197
user_254,rated,movie_436
user_109,rated,movie_631
user_297,rated,movie_716
user_249,rated,movie_188
user_144,rated,movie_699
user_301,rated,movie_604
user_64,rated,movie_392
user_92,rated,movie_501
user_222,rated,movie_97
user_268,rated,movie_436
user_293,rated,movie_135
user_213,rated,movie_173
user_160,rated,movie_460
user_13,rated,movie_498
user_59,rated,movie_715
user_5,rated,movie_17
user_125,rated,movie_163
user_174,rated,movie_315
user_114,rated,movie_505
user_213,rated,movie_515
user_23,rated,movie_196
user_128,rated,movie_15
user_239,rated,movie_56
user_181,rated,movie_279
user_291,rated,movie_80
user_250,rated,movie_238
user_201,rated,movie_649
user_60,rated,movie_60
user_181,rated,movie_325
user_119,rated,movie_407
user_287,rated,movie_1
user_216,rated,movie_228
user_216,rated,movie_531
user_203,rated,movie_471
user_92,rated,movie_587
user_13,rated,movie_892
user_213,rated,movie_176
user_286,rated,movie_288
user_117,rated,movie_1047
user_99,rated,movie_111
user_11,rated,movie_558
user_65,rated,movie_47
user_295,rated,movie_194
user_269,rated,movie_217
user_85,rated,movie_259
user_250,rated,movie_596
user_137,rated,movie_144
user_201,rated,movie_960
user_257,rated,movie_137
user_111,rated,movie_328
user_91,rated,movie_480
user_215,rated,movie_211
user_181,rated,movie_938
user_189,rated,movie_1060
user_1,rated,movie_20
user_303,rated,movie_404
user_299,rated,movie_305
user_187,rated,movie_210
user_222,rated,movie_278
user_214,rated,movie_568
user_293,rated,movie_770
user_285,rated,movie_191
user_303,rated,movie_252
user_96,rated,movie_156
user_72,rated,movie_1110
user_115,rated,movie_1067
user_7,rated,movie_430
user_116,rated,movie_350
user_73,rated,movie_480
user_269,rated,movie_246
user_263,rated,movie_419
user_70,rated,movie_431
user_221,rated,movie_475
user_72,rated,movie_182
user_25,rated,movie_357
user_290,rated,movie_50
user_189,rated,movie_526
user_299,rated,movie_303
user_264,rated,movie_294
user_200,rated,movie_365
user_187,rated,movie_135
user_184,rated,movie_187
user_63,rated,movie_289
user_13,rated,movie_229
user_298,rated,movie_486
user_235,rated,movie_185
user_62,rated,movie_712
user_246,rated,movie_94
user_54,rated,movie_742
user_63,rated,movie_762
user_11,rated,movie_732
user_92,rated,movie_168
user_8,rated,movie_550
user_307,rated,movie_174
user_303,rated,movie_200
user_256,rated,movie_849
user_72,rated,movie_54
user_164,rated,movie_406
user_117,rated,movie_150
user_224,rated,movie_77
user_193,rated,movie_869
user_94,rated,movie_184
user_281,rated,movie_338
user_130,rated,movie_109
user_128,rated,movie_371
user_94,rated,movie_720
user_182,rated,movie_845
user_129,rated,movie_873
user_254,rated,movie_229
user_64,rated,movie_381
user_151,rated,movie_176
user_45,rated,movie_25
user_193,rated,movie_879
user_276,rated,movie_922
user_276,rated,movie_57
user_234,rated,movie_187
user_181,rated,movie_306
user_21,rated,movie_370
user_293,rated,movie_249
user_264,rated,movie_721
user_10,rated,movie_611
user_197,rated,movie_346
user_276,rated,movie_142
user_308,rated,movie_427
user_221,rated,movie_943
user_131,rated,movie_126
user_268,rated,movie_824
user_109,rated,movie_8
user_198,rated,movie_58
user_230,rated,movie_680
user_181,rated,movie_741
user_192,rated,movie_1061
user_234,rated,movie_448
user_90,rated,movie_900
user_193,rated,movie_941
user_128,rated,movie_603
user_126,rated,movie_905
user_244,rated,movie_265
user_90,rated,movie_289
user_157,rated,movie_25
user_305,rated,movie_71
user_119,rated,movie_382
user_21,rated,movie_222
user_231,rated,movie_181
user_280,rated,movie_508
user_288,rated,movie_132
user_279,rated,movie_1497
user_301,rated,movie_33
user_72,rated,movie_699
user_90,rated,movie_259
user_308,rated,movie_55
user_59,rated,movie_742
user_94,rated,movie_744
user_130,rated,movie_642
user_26,rated,movie_1015
user_56,rated,movie_121
user_82,rated,movie_508
user_62,rated,movie_12
user_276,rated,movie_40
user_181,rated,movie_1015
user_152,rated,movie_301
user_178,rated,movie_845
user_217,rated,movie_597
user_79,rated,movie_303
user_138,rated,movie_484
user_308,rated,movie_81
user_75,rated,movie_284
user_269,rated,movie_198
user_307,rated,movie_94
user_222,rated,movie_781
user_121,rated,movie_740
user_269,rated,movie_22
user_13,rated,movie_864
user_230,rated,movie_742
user_269,rated,movie_507
user_239,rated,movie_1099
user_245,rated,movie_1028
user_56,rated,movie_546
user_295,rated,movie_961
user_271,rated,movie_1028
user_222,rated,movie_812
user_69,rated,movie_240
user_10,rated,movie_7
user_22,rated,movie_376
user_294,rated,movie_931
user_82,rated,movie_717
user_279,rated,movie_399
user_269,rated,movie_234
user_6,rated,movie_98
user_243,rated,movie_1039
user_298,rated,movie_181
user_282,rated,movie_325
user_78,rated,movie_323
user_118,rated,movie_200
user_283,rated,movie_1114
user_171,rated,movie_292
user_70,rated,movie_217
user_10,rated,movie_100
user_245,rated,movie_181
user_107,rated,movie_333
user_246,rated,movie_561
user_13,rated,movie_901
user_276,rated,movie_70
user_244,rated,movie_17
user_189,rated,movie_56
user_226,rated,movie_242
user_62,rated,movie_1016
user_276,rated,movie_417
user_214,rated,movie_478
user_306,rated,movie_235
user_222,rated,movie_26
user_280,rated,movie_631
user_60,rated,movie_430
user_56,rated,movie_71
user_42,rated,movie_274
user_1,rated,movie_202
user_13,rated,movie_809
user_173,rated,movie_289
user_15,rated,movie_749
user_185,rated,movie_23
user_280,rated,movie_540
user_244,rated,movie_381
user_150,rated,movie_293
user_7,rated,movie_497
user_178,rated,movie_317
user_178,rated,movie_742
user_95,rated,movie_1217
user_234,rated,movie_1462
user_97,rated,movie_222
user_109,rated,movie_127
user_117,rated,movie_268
user_269,rated,movie_705
user_130,rated,movie_1246
user_264,rated,movie_655
user_207,rated,movie_13
user_42,rated,movie_588
user_246,rated,movie_409
user_87,rated,movie_367
user_101,rated,movie_304
user_256,rated,movie_127
user_92,rated,movie_794
user_181,rated,movie_762
user_213,rated,movie_235
user_92,rated,movie_739
user_292,rated,movie_661
user_246,rated,movie_665
user_274,rated,movie_845
user_188,rated,movie_692
user_18,rated,movie_86
user_5,rated,movie_439
user_236,rated,movie_632
user_193,rated,movie_407
user_144,rated,movie_709
user_90,rated,movie_1198
user_48,rated,movie_609
user_5,rated,movie_225
user_22,rated,movie_128
user_311,rated,movie_432
user_8,rated,movie_22
user_276,rated,movie_188
user_222,rated,movie_173
user_72,rated,movie_866
user_299,rated,movie_134
user_1,rated,movie_171
user_308,rated,movie_295
user_165,rated,movie_216
user_222,rated,movie_49
user_181,rated,movie_121
user_200,rated,movie_11
user_234,rated,movie_626
user_244,rated,movie_707
user_90,rated,movie_25
user_208,rated,movie_216
user_263,rated,movie_96
user_134,rated,movie_323
user_279,rated,movie_586
user_2,rated,movie_292
user_288,rated,movie_593
user_49,rated,movie_302
user_286,rated,movie_153
user_205,rated,movie_304
user_22,rated,movie_80
user_234,rated,movie_318
user_223,rated,movie_328
user_15,rated,movie_25
user_268,rated,movie_147
